timestamp_id,lambda_,seed,exp_task_name,exp_desc,exp_data_size,exp_model,job_id,mode,epochs,prev_timestamp
2022-07-16-05-52-16,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2722778,,,
2022-07-17-20-05-36,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2725462,,,
2022-07-18-23-24-00,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2749346,predict,,
2022-07-21-23-45-20,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2768877,train-checkpoints,,
2022-07-22-04-12-00,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2769461,train-checkpoints,,
2022-07-22-05-01-04,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2769570,train-checkpoints,,
2022-07-23-23-09-04,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2786189,train,20.0,-
2022-07-24-09-12-48,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2789847,predict,20.0,-
2022-08-01-04-09-52,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2862842,train,20.0,-
2022-08-01-04-35-28,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2862878,train,20.0,-
2022-08-01-04-35-28,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2862879,train,20.0,-
2022-08-02-02-01-52,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2863996,train,20.0,-
2022-08-02-20-22-40,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2874788,predict,20.0,-
2022-08-02-20-41-52,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2874818,train,20.0,-
2022-08-03-06-22-08,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2876485,train,20.0,-
2022-08-03-06-39-12,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2876562,train,20.0,-
2022-08-03-08-19-28,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2876812,train,20.0,-
2022-08-05-02-40-16,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2892114,train,20.0,-
2022-08-05-05-07-28,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2892256,train,20.0,-
2022-08-05-05-58-40,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2892379,train,20.0,-
2022-08-06-01-51-12,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2906614,train,20.0,-
2022-08-06-07-32-32,0.05,0,IS2RE,Val ID Prediction,all,CGCNN Evidential,2912222,train,20,-
